frame_idx	timestamp_ns	ev_a	ev_b	range_a_m	range_b_m	scale_ratio	precision_pct	recall_pct	f1_pct	fp_count	fn_count
140	1784131487479708000	889	872	36.615	36.758	1.003	5.7	2.7	3.7	838	848
141	1784131487784680000	886	872	36.887	37.258	1.01	55.9	25.5	35.1	390	649
142	1784131488064213000	889	871	37.271	37.244	0.999	0.7	1.1	0.9	882	861
143	1784131488377777000	889	869	37.499	37.791	1.007	64.3	36.2	46.3	317	554
144	1784131488644075000	889	870	37.778	37.705	0.998	2.9	7.9	4.2	863	801
145	1784131489017459000	889	870	37.969	38.427	1.012	39.1	24.1	29.8	541	660
146	1784131489294423000	889	870	38.173	38.388	1.005	28.6	31.2	29.9	634	598
147	1784131489571733000	889	870	38.518	38.938	1.01	66.2	41.1	50.7	300	512
148	1784131489927884000	889	870	38.738	39.028	1.007	71.3	67.8	69.5	255	280
149	1784131490199729000	889	870	39.111	39.619	1.012	74.4	60.6	66.8	227	342
150	1784131490512103000	889	870	39.206	39.713	1.012	66.2	65.5	65.8	300	300
151	1784131490797813000	889	870	39.404	40.22	1.02	70.0	47.4	56.6	266	457
152	1784131491114232000	889	869	39.631	40.363	1.018	64.3	51.6	57.3	317	420
153	1784131491484575000	889	872	39.877	40.536	1.016	62.9	43.1	51.1	329	496
154	1784131491782008000	889	872	40.033	40.702	1.016	63.1	44.0	51.8	328	488
155	1784131492083571000	889	872	40.443	40.99	1.013	70.5	49.1	57.9	262	443
156	1784131492372964000	889	873	40.653	41.263	1.015	64.1	44.5	52.5	319	484
157	1784131492754114000	889	873	40.696	41.451	1.018	62.3	42.6	50.6	335	501
158	1784131493049358000	889	873	40.387	41.715	1.032	45.2	26.2	33.2	487	644
159	1784131493326744000	889	873	40.904	42.049	1.027	61.3	35.3	44.8	344	564
160	1784131493616102000	889	873	40.782	42.487	1.041	27.4	14.8	19.3	645	743
161	1784131493890076000	889	872	41.215	42.804	1.038	41.2	23.1	29.6	522	670
162	1784131494210440000	889	872	41.251	42.973	1.041	34.9	17.3	23.1	578	721
